Ano,D.Y,P/L,PEG RATIO,P/VP,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP.GIRO,P/ATIVO CIRC. LIQ.,Dív. líquida/PL,Dív. líquida/EBITDA,Dív. líquida/EBIT,PL/Ativos,Passivos/Ativos,Liq. corrente,M. Bruta,M. EBITDA,M. EBIT,M. Líquida,ROE,ROA,ROIC,Giro ativos,CAGR Receitas 5 anos,CAGR Lucros 5 anos,Ticker,Tipo
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,48","1,99","3,98","0,32","0,67","1,71","10,72%","15,94%","7,96%","-17,15%","-26,04%","-8,28%","-5,78%","0,48",-%,-%,CBAV3,acoes
ATUAL,"0,19%","9,32","0,19","1,76","10,78","11,56","10,83","11,61","4,64","0,81","0,88","0,70","2,20","-3,44","-0,01","-0,07","-0,08","0,46","0,54","1,93","12,87%","6,42%","5,99%","7,46%","18,93%","8,69%","8,40%","1,16",-%,-%,TTEN3,acoes
2021,-%,"11,17",-,"2,15","11,98","12,77","12,75","13,60","4,53","1,09","0,87","0,90","3,16","-4,62","-0,13","-0,77","-0,82","0,51","0,49","1,83","13,13%","7,06%","6,62%","8,06%","19,24%","9,79%","9,98%","1,21",-%,-%,TTEN3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,55",-,"1,19","0,31","0,69","1,30","16,07%",-%,"10,52%","7,91%","34,58%","10,61%","23,51%","1,34",-%,-%,TTEN3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,65",-,"1,76","0,26","0,74","1,13","14,16%",-%,"6,62%","5,43%","30,22%","7,93%","17,22%","1,46",-%,-%,TTEN3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,60",-,"1,16","0,28","0,72","1,04","15,77%",-%,"8,19%","6,63%","41,82%","11,59%","24,12%","1,75",-%,-%,TTEN3,acoes
ATUAL,"6,15%","9,36","0,44","1,82",-,"4,93",-,"11,91","7,23","0,33","1,41","2,11","1,75","-38,54","-1,09",-,"-7,10","0,18","0,82","1,24","36,49%",-%,"17,71%","22,54%","19,47%","3,56%","0,77%","0,16",-%,-%,BRBI11,acoes
2021,-%,"10,94",-,"1,98","5,74","5,82","14,63","14,83","7,33","0,50","1,33","6,70","1,94","-39,69","-1,20","-8,89","-9,02","0,25","0,75","1,35","94,47%","45,78%","45,15%","61,19%","18,07%","4,55%","0,78%","0,07",-%,-%,BRBI11,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,42",-,"-5,33","0,39","0,61","2,17","3,82%",-%,"10,88%","7,25%","30,21%","11,65%","29,93%","1,61",-%,-%,BRBI11,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,70",-,"-5,06","0,56","0,44","2,77","5,55%",-%,"21,61%","16,01%","24,90%","13,99%","24,57%","0,87",-%,-%,BRBI11,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,79",-,"-7,90","0,54","0,46","2,54","5,31%",-%,"10,77%","8,48%","17,82%","9,65%","17,84%","1,14",-%,-%,BRBI11,acoes
ATUAL,-%,"-3,62","-0,01","0,50",-,"2,54",-,"-2,46","5,68","0,46","-0,78","2,25","0,51","-19,03","-1,02",-,"5,05","0,93","0,07","14,53","91,86%",-%,"-91,35%","-62,19%","-13,72%","-12,80%","-20,16%","0,21",-%,-%,NINJ3,acoes
2021,-%,"-6,64",-,"0,95","0,41","0,40","-5,26","-5,23","5,71","0,89","-0,82","4,36","0,97","-49,58","-1,02","5,67","5,63","0,94","0,06","15,13","91,83%","-82,82%","-83,43%","-65,67%","-14,30%","-13,37%","-18,17%","0,20",-%,-%,NINJ3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,26","-0,64","1,64","0,55","91,81%",-%,"-1,49%","-2,13%","-17,21%","-10,93%","14,58%","5,14",-%,-%,NINJ3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,05","-0,82","1,82","0,37","91,93%",-%,"-12,38%","-13,62%","-70,10%","-57,56%","67,90%","4,22",-%,-%,NINJ3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,26","-0,28","1,28","0,68","86,70%",-%,"-52,64%","-51,55%","-537,58%","-149,52%","562,61%","2,90",-%,-%,NINJ3,acoes
ATUAL,"4,05%","13,99","0,10","1,39",-,"8,17",-,"8,20","1,84","0,24","0,18","1,51",-,"-0,33",-,-,-,"0,17","0,83",-,"69,68%",-%,"18,43%","10,80%","9,95%","1,71%",-%,"0,16",-%,-%,MODL4,acoes
2021,"2,14%","20,50",-,"1,82",-,"11,91",-,"10,92","1,81","0,33","0,16","2,60",-,"-0,49",-,-,-,"0,18","0,82",-,"83,52%",-%,"23,85%","12,70%","8,90%","1,63%",-%,"0,13",-%,-%,MODL4,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,13","0,87",-,"327,42%",-%,"62,24%","26,01%","4,62%","0,61%",-%,"0,02",-%,-%,MODL4,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,12","0,88",-,"213,89%",-%,"43,25%","32,56%","10,01%","1,23%",-%,"0,04",-%,-%,MODL4,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,10","0,85",-,"163,81%",-%,"26,49%","-19,95%","-5,99%","-0,60%",-%,"0,03",-%,-%,MODL4,acoes
ATUAL,"3,88%","14,59","0,10","1,45",-,"8,17",-,"8,55","1,84","0,25","0,18","1,58",-,"-0,34",-,-,-,"0,17","0,83",-,"69,68%",-%,"18,43%","10,80%","9,95%","1,71%",-%,"0,16",-%,-%,MODL3,acoes
2021,"1,72%","25,54",-,"2,27",-,"11,91",-,"13,60","1,81","0,42","0,16","3,24",-,"-0,61",-,-,-,"0,18","0,82",-,"83,52%",-%,"23,85%","12,70%","8,90%","1,63%",-%,"0,13",-%,-%,MODL3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,13","0,87",-,"327,42%",-%,"62,24%","26,01%","4,62%","0,61%",-%,"0,02",-%,-%,MODL3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,12","0,88",-,"213,89%",-%,"43,25%","32,56%","10,01%","1,23%",-%,"0,04",-%,-%,MODL3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,10","0,85",-,"163,81%",-%,"26,49%","-19,95%","-5,99%","-0,60%",-%,"0,03",-%,-%,MODL3,acoes
ATUAL,"2,48%","11,84","0,48","2,65",-,"10,81",-,"9,11","3,46","1,49","0,77","1,61","4,46","-4,99","0,49",-,"1,68","0,56","0,43","1,91","36,15%",-%,"17,65%","13,58%","22,36%","12,60%","15,83%","0,93",-%,-%,VITT3,acoes
2021,"0,68%","19,26",-,"4,29",-,"15,56",-,"14,44","3,36","2,44","0,75","2,65","7,02","-8,46","0,33",-,"1,12","0,57","0,43","1,95","36,49%",-%,"18,34%","13,75%","22,30%","12,66%","16,00%","0,92",-%,-%,VITT3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,69",-,"1,97","0,46","0,53","1,66","36,54%",-%,"18,95%","15,41%","28,57%","13,17%","17,16%","0,85",-%,-%,VITT3,acoes
ATUAL,-%,"-38,73","0,12","1,92",-,"25,18",-,"14,57","1,62","0,56","-0,08","1,58","-136,48","-0,72","1,40",-,"10,61","0,29","0,69","0,98","25,41%",-%,"10,85%","-4,08%","-4,96%","-1,43%","3,59%","0,35",-%,-%,KRSA3,acoes
2021,-%,"-62,48",-,"3,18","29,71","39,69","22,44","29,98","1,63","1,01","-0,08","3,16","13,47","-1,35","1,03","7,27","9,72","0,32","0,66","1,42","25,57%","14,06%","10,53%","-5,05%","-5,09%","-1,62%","2,49%","0,32",-%,-%,KRSA3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,79","5,14","6,36","0,16","0,83","1,37","25,60%","15,98%","12,92%","2,59%","8,80%","1,44%","7,41%","0,56",-%,-%,KRSA3,acoes
ATUAL,"7,82%","10,25","0,78","1,86",-,"8,51",-,"8,90","3,71","1,85","0,67",-,"14,94","-2,13","-0,09",-,"-0,42","0,99","0,01","13,42",-%,-%,-%,-%,"18,18%","18,00%","17,96%","0,00",-%,"13,16%",CXSE3,acoes
2021,"2,93%","13,23",-,"2,38",-,"11,31",-,"11,47","3,52","2,35","0,63",-,"28,62","-2,59","-0,03",-,"-0,17","0,99","0,01","10,21",-%,-%,-%,-%,"17,96%","17,80%","17,86%","0,00",-%,"11,72%",CXSE3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,09",-,"-0,38","0,96","0,04","2,46",-%,-%,-%,-%,"19,48%","18,71%","19,25%","0,00",-%,-%,CXSE3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,10",-,"-0,29","0,91","0,05","3,23",-%,-%,-%,-%,"31,23%","28,36%","29,20%","0,00",-%,-%,CXSE3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,06",-,"-0,15","0,97","0,02","8,51",-%,-%,-%,-%,"32,70%","31,61%","31,58%","0,00",-%,-%,CXSE3,acoes
2017,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,10",-,"-0,27","0,91","0,07","2,23",-%,-%,-%,-%,"31,62%","28,93%","30,50%","0,00",-%,-%,CXSE3,acoes
2016,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,06",-,"-0,18","0,95","0,04","3,02",-%,-%,-%,-%,"29,21%","27,71%","28,53%","0,00",-%,-%,CXSE3,acoes
ATUAL,"1,68%","17,91","2,51","3,27",-,"11,71",-,"11,19","3,41","1,10","0,62","1,04","3,72","-2,35","0,16",-,"0,56","0,34","0,66","2,26","16,33%",-%,"9,26%","5,78%","18,24%","6,16%","10,98%","1,07",-%,-%,GGPS3,acoes
2021,"1,18%","26,50",-,"4,83",-,"18,08",-,"17,38","3,29","1,60","0,60","1,60","5,52","-3,34","0,19",-,"0,70","0,33","0,67","2,27","16,86%",-%,"9,21%","6,04%","18,21%","6,05%","10,32%","1,00",-%,-%,GGPS3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,83",-,"1,32","0,16","0,84","1,22","19,04%",-%,"9,41%","5,72%","38,26%","6,31%","15,15%","1,10",-%,-%,GGPS3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,55",-,"1,29","0,26","0,74","1,86","17,72%",-%,"8,73%","4,92%","24,21%","6,29%","12,63%","1,28",-%,-%,GGPS3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,40",-,"0,67","0,25","0,75","1,58","18,96%",-%,"10,93%","6,15%","33,57%","8,33%","17,86%","1,36",-%,-%,GGPS3,acoes
ATUAL,"1,08%","21,69",-,"1,92","11,80","14,03","10,56","12,56","4,34","0,71","0,38","2,80","3,27","-1,04","0,20","1,09","1,30","0,37","0,62","3,18","38,20%","26,47%","22,27%","12,89%","8,87%","3,28%","6,16%","0,25",-%,-%,MATD3,acoes
2021,-%,"35,62",-,"3,15","17,65","20,61","18,24","21,30","4,29","1,26","0,38","5,04","3,68","-2,20","-0,10","-0,59","-0,69","0,40","0,59","5,05","39,51%","27,62%","23,65%","14,15%","8,84%","3,54%","6,03%","0,25",-%,-%,MATD3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,11",-,"-0,24","0,22","0,78","1,30","40,41%",-%,"16,27%","10,12%","27,83%","6,14%","17,22%","0,61",-%,-%,MATD3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,08",-,"-0,33","0,64","0,36","2,93","45,82%",-%,"28,79%","18,85%","16,31%","10,46%","13,30%","0,55",-%,-%,MATD3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,15",-,"-0,60","0,62","0,38","2,60","45,47%",-%,"29,43%","19,86%","16,79%","10,38%","12,92%","0,52",-%,-%,MATD3,acoes
ATUAL,"13,32%","3,53","0,12","0,61","2,62","3,09","1,98","2,34","16,45","0,24","2,84","0,16","1,03","-0,78","0,19","0,62","0,73","0,39","0,61","1,48","13,72%","7,88%","6,66%","4,42%","17,24%","6,66%","19,90%","1,51",-%,-%,ALLD3,acoes
2021,"4,48%","5,50",-,"1,05","2,61","3,06","3,32","3,89","16,22","0,35","3,09","0,28","1,74","-1,33","-0,22","-0,71","-0,83","0,33","0,67","1,37","14,08%","8,32%","7,10%","5,02%","19,07%","6,36%","20,12%","1,27",-%,-%,ALLD3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,05",-,"0,23","0,30","0,70","1,35","15,63%",-%,"5,73%","3,55%","14,83%","4,51%","15,61%","1,27",-%,-%,ALLD3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,21",-,"1,16","0,31","0,69","1,39","15,78%",-%,"4,84%","2,71%","10,37%","3,17%","11,51%","1,17",-%,-%,ALLD3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,07",-,"0,48","0,32","0,68","1,34","17,07%",-%,"5,01%","2,29%","6,82%","2,16%","9,05%","0,94",-%,-%,ALLD3,acoes
2017,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,23",-,"2,25","0,38","0,62","1,29","12,11%",-%,"3,39%","0,73%","2,24%","0,86%","6,54%","1,18",-%,-%,ALLD3,acoes
ATUAL,"2,79%","15,70","-5,66","2,84","9,23","9,67","10,16","10,64","9,27","2,05","1,68","3,49","3,53","-7,19","-0,29","-1,05","-1,10","0,72","0,28","5,42","48,50%","34,32%","32,75%","22,20%","18,07%","13,08%","15,30%","0,59",-%,-%,BLAU3,acoes
2021,"0,68%","20,08",-,"3,99","12,53","13,10","13,67","14,30","9,12","2,80","1,81","4,78","4,82","-10,34","-0,34","-1,15","-1,20","0,70","0,30","4,95","48,74%","34,95%","33,42%","23,80%","19,88%","13,97%","14,83%","0,59",-%,-%,BLAU3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,15",-,"1,22","0,17","0,83","2,20","47,04%",-%,"32,93%","21,52%","114,90%","19,98%","31,80%","0,93",-%,-%,BLAU3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,45",-,"0,40","0,36","0,64","1,91","44,00%",-%,"30,84%","20,48%","75,35%","27,12%","39,54%","1,32",-%,-%,BLAU3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,50",-,"0,55","0,38","0,62","2,48","43,25%",-%,"25,96%","15,76%","55,19%","20,74%","32,97%","1,32",-%,-%,BLAU3,acoes
ATUAL,-%,"-0,17","-0,02","0,39","-10,18","-2,47","-0,84","-0,21","2,85","0,02","-6,55","0,03","-0,05","-0,02","4,25","-9,30","-2,26","0,04","0,96","0,39","8,42%","-3,47%","-14,28%","-17,46%","-229,65%","-9,94%","-42,78%","0,57","-12,49%",-%,ATMP3,acoes
2021,-%,"-0,51","0,01","0,45","-129,02","-3,34","-23,86","-0,62","5,79","0,04","-5,10","0,07","-0,13","-0,05","1,98","-105,15","-2,72","0,09","0,91","0,42","8,53%","-0,28%","-10,74%","-13,00%","-88,18%","-7,72%","-35,25%","0,59","-12,49%",-%,ATMP3,acoes
2020,-%,"-0,26",-,"0,34","-12,65","-2,15","-2,26","-0,38","6,78","0,03","-8,70","0,06","-0,16","-0,04","1,56","-10,39","-1,77","0,09","0,91","0,48","1,81%","-2,66%","-15,64%","-22,72%","-128,42%","-12,05%","-33,09%","0,53","-16,98%",-%,ATMP3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,48","-1,51","-0,13","1,13","0,49","-17,07%","-18,20%","-29,80%","-48,96%","-255,17%","-32,62%","-102,93%","0,67","-21,09%",-%,ATMP3,acoes
2018,-%,"-0,03","0,00","0,07",-,"-1,12",-,"-0,11","12,18","0,00","-32,61","0,00","-0,34","-0,01","0,65",-,"-1,01","0,06","0,94","0,96","-2,39%",-%,"-3,96%","-16,42%","-267,80%","-16,45%","-71,01%","1,00","-17,77%",-%,ATMP3,acoes
2017,-%,-,-,-,-,-,-,-,"-593,34",-,"-530,81",-,-,-,-,"-7,03","-4,36","-0,26","1,26","1,46","-1,59%","-8,47%","-13,65%","-22,72%","-89,46%","-23,56%","-60,82%","1,04","-14,02%",-%,ATMP3,acoes
2016,-%,-,-,-,-,-,-,-,"0,04",-,"-0,23",-,-,-,"86,44","34,11","-7,89","0,01","0,99","1,49","4,62%","1,59%","-6,88%","-3,83%","-610,28%","-3,60%","-16,82%","0,94","-7,13%",-%,ATMP3,acoes
2015,-%,-,-,-,-,-,-,-,"0,49",-,"-0,66",-,-,-,"7,05","20,09","-6,86","0,06","0,94","0,54","2,54%","2,50%","-7,32%","-9,47%","-132,86%","-8,61%","-15,61%","0,91","-0,01%",-%,ATMP3,acoes
2014,-%,-,-,-,-,-,-,-,"1,14",-,"0,28",-,-,-,"2,57","2,65","5,62","0,15","0,85","0,94","15,27%","13,60%","6,41%","3,43%","24,42%","3,64%","8,27%","1,06","5,47%","-6,00%",ATMP3,acoes
2013,-%,-,-,-,-,-,-,-,"1,27",-,"0,30",-,-,-,"1,88","2,04","4,19","0,17","0,83","0,98","15,04%","11,15%","5,43%","2,83%","23,33%","3,88%","11,40%","1,37","15,31%","2,05%",ATMP3,acoes
ATUAL,"1,13%","12,95","4,33","6,88","8,19","10,36","6,19","7,83","2,21","0,63","1,18","0,47","22,93","-1,01","2,22","1,99","2,52","0,09","0,91","1,08","17,00%","7,55%","5,97%","3,61%","53,08%","4,88%","17,75%","1,35",-%,-%,ASAI3,acoes
2021,"2,81%","10,84",-,"6,31","7,13","8,89","5,42","6,77","2,05","0,76","1,20","0,42","136,35","-1,24","1,98","1,70","2,13","0,12","0,88","1,01","17,05%","7,68%","6,16%","3,84%","58,21%","7,04%","21,67%","1,83",-%,-%,ASAI3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,05","1,13","2,08","0,07","0,93","0,96","16,41%","10,56%","5,74%","3,88%","99,15%","7,43%","17,66%","1,92",-%,-%,ASAI3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,53","1,75","2,23","0,20","0,73","0,88","16,85%","7,73%","6,06%","3,73%","14,75%","2,92%","6,89%","0,78",-%,-%,ASAI3,acoes
ATUAL,"7,72%","5,28","1,76","1,03",-,"7,92",-,"2,34","4,73","0,20","0,92","0,29","1,05","-0,30","2,44",-,"5,56","0,19","0,81","2,19","15,48%",-%,"12,61%","5,58%","19,45%","3,72%","10,18%","0,67","-8,01%",-%,JSLG3,acoes
2021,"3,90%","7,97","0,16","1,63","6,79","9,82","2,85","4,12","4,62","0,30","0,95","0,50","1,49","-0,48","2,26","3,94","5,71","0,19","0,81","2,19","15,38%","17,65%","12,20%","6,30%","20,46%","3,80%","8,98%","0,60","-8,01%",-%,JSLG3,acoes
2020,-%,"16,78",-,"2,85","4,71","25,13","2,90","15,51","3,80","0,63","0,65","1,07","3,17","-1,03","1,77","1,80","9,63","0,22","0,78","2,01","10,67%","36,91%","6,91%","6,39%","16,98%","3,73%","4,59%","0,58","-13,95%","31,03%",JSLG3,acoes
2019,-%,-,-,-,-,-,-,-,"6,55",-,"1,10",-,-,-,"6,46","5,83","30,66","0,07","0,88","1,90","13,31%","48,11%","9,15%","7,28%","16,77%","1,11%","1,61%","0,15",-%,-%,JSLG3,acoes
2018,-%,-,-,-,-,-,-,-,"3,72",-,"0,65",-,-,-,"9,50","4,47","7,44","0,05","0,92","1,78","21,87%","19,79%","11,90%","1,63%","17,43%","0,83%","6,57%","0,51",-%,-%,JSLG3,acoes
2017,-%,-,-,-,-,-,-,-,"3,32",-,"-0,01",-,-,-,"8,50",-,"8,28","0,06","0,90","1,43","20,48%",-%,"9,71%","-0,04%","-0,40%","-0,02%","7,27%","0,63",-%,-%,JSLG3,acoes
2016,-%,-,-,-,-,-,-,-,"2,89",-,"-0,87",-,-,-,-,-,-,-,-,-,"19,89%",-%,"7,65%","-2,81%",-%,-%,-%,-,-%,-%,JSLG3,acoes
2015,-%,-,-,-,-,-,-,-,-,-,"0,22",-,-,-,-,-,-,-,-,-,"18,99%",-%,"9,74%","0,78%",-%,-%,-%,-,-%,-%,JSLG3,acoes
ATUAL,"23,43%","4,32","-0,21","1,39",-,"2,24",-,"2,52","2,69","0,85","0,87","1,19","3,32","-1,43","-0,15",-,"-0,28","0,61","0,39","2,73","55,44%",-%,"47,02%","27,45%","32,21%","19,74%","31,76%","0,72",-%,-%,CMIN3,acoes
2021,"6,95%","5,92",-,"2,69",-,"3,32",-,"3,98","2,50","1,40","1,14","1,98","6,01","-2,66","-0,44",-,"-0,66","0,52","0,48","1,96","57,94%",-%,"49,74%","33,46%","45,51%","23,60%","35,46%","0,71",-%,-%,CMIN3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,16",-,"-0,26","0,54","0,46","1,43","60,26%",-%,"45,70%","29,23%","38,02%","20,54%","38,09%","0,70",-%,-%,CMIN3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,11",-,"0,19","0,59","0,41","1,22","61,90%",-%,"46,29%","31,99%","39,16%","23,08%","34,81%","0,72",-%,-%,CMIN3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,13",-,"0,63","0,68","0,32","1,45","51,30%",-%,"29,01%","14,68%","10,27%","7,02%","12,10%","0,48",-%,-%,CMIN3,acoes
2017,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,05",-,"0,31","0,61","0,39","1,24","46,63%",-%,"26,45%","15,94%","8,87%","5,38%","7,91%","0,34",-%,-%,CMIN3,acoes
ATUAL,-%,"-809,75","8,25","1,73","13,63","48,42","12,80","45,47","5,43","0,86","-0,01","2,82","4,60","-1,43","0,06","0,42","1,49","0,50","0,50","1,87","34,80%","22,02%","6,20%","-0,35%","-0,21%","-0,11%","1,92%","0,30",-%,-%,ELMD3,acoes
2021,-%,"-121,22",-,"1,81","17,45","155,79","17,10","152,69","5,52","0,85","-0,08","3,35","3,52","-1,57","0,04","0,35","3,11","0,47","0,53","2,14","35,29%","19,58%","2,19%","-2,76%","-1,50%","-0,70%","0,31%","0,26",-%,-%,ELMD3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,34","310,91","-9,18","0,09","0,91","0,72","33,12%","0,70%","-23,64%","-25,40%","-74,15%","-6,71%","-11,47%","0,26",-%,-%,ELMD3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,17","1,28","1,75","0,23","0,76","1,08","44,38%","20,44%","14,92%","4,68%","21,05%","4,78%","15,43%","1,02",-%,-%,ELMD3,acoes
2018,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,21","2,07","3,06","0,24","0,75","0,80","46,18%","15,38%","10,40%","4,05%","15,36%","3,74%","11,56%","0,92",-%,-%,ELMD3,acoes
2017,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,05","1,89","2,85","0,28","0,71","0,90","47,31%","16,26%","10,79%","-1,35%","-4,59%","-1,27%","12,88%","0,94",-%,-%,ELMD3,acoes
ATUAL,-%,"-54,43","2,88","5,78",-,"21,64",-,"16,78","4,69","1,59","-0,50","4,33","6,96","-2,63","1,66",-,"4,82","0,28","0,71","2,36","41,31%",-%,"25,83%","-7,96%","-10,61%","-2,92%","8,45%","0,37",-%,-%,ORVR3,acoes
2021,-%,"-30,99",-,"5,40",-,"31,07",-,"24,12","4,98","1,59","-0,87","4,41","4,64","-3,19","1,56",-,"6,94","0,29","0,69","3,19","41,08%",-%,"18,30%","-14,24%","-17,44%","-5,14%","4,72%","0,36",-%,-%,ORVR3,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,74",-,"3,09","0,10","0,88","0,78","37,45%",-%,"26,35%","0,90%","5,26%","0,53%","19,46%","0,58",-%,-%,ORVR3,acoes
2019,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-21,01","-0,17","1,15","0,54","30,58%",-%,"-6,08%","0,83%","-2,64%","0,44%","-7,87%","0,53",-%,-%,ORVR3,acoes
